COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION DATE
Tufted Duck,Aythya fuligula,1,Barnstable,Bourne,41.74121,-70.59888,1997-02-09
Pink-footed Goose,Anser brachyrhynchus,1,Barnstable,"Dennis Pines Golf Course, Dennis  MA",41.7267429,-70.1544642,1999-01-18
Bar-tailed Godwit,Limosa lapponica,1,Plymouth,Plymouth Harbor,41.9668854,-70.6710792,1998-01-10
Eared Grebe,Podiceps nigricollis,1,Essex,East Gloucester,42.6085635,-70.6425286,1999-01-31
Varied Thrush,Ixoreus naevius,1,Middlesex,Sudbury,42.38339,-71.41621,1994-03-01
Rufous Hummingbird,Selasphorus rufus,1,Hampden,"School St., Agawam, MA",42.0692875,-72.6141985,1998-10-03
Scissor-tailed Flycatcher,Tyrannus forficatus,1,Essex,Parker River NWR,42.7639008,-70.8022995,1984-07-07
LeConte's Sparrow,Ammospiza leconteii,1,Plymouth,Rochester,41.7318,-70.82008,1994-10-28
Painted Bunting,Passerina ciris,1,Essex,Nahant,42.4265,-70.91889,1988-05-14
Tufted Duck,Aythya fuligula,1,Essex,Salisbury Beach State Reservation--Black Rock Creek,42.8230254,-70.8272867,1975-03-06
Purple Gallinule,Porphyrio martinica,1,Essex,Rockport,42.6557007,-70.6202927,1996-10-18
Northern Wheatear,Oenanthe oenanthe,1,Worcester,Fitchburg,42.58339,-71.80232,1994-09-08
Ivory Gull,Pagophila eburnea,1,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,1976-01-10
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Parker River NWR,42.7639008,-70.8022995,1998-09-04
Ash-throated Flycatcher,Myiarchus cinerascens,1,Barnstable,"Ash-throated Flycatcher, Locust Lane, Barnstable, MA",41.7087562,-70.2894974,1998-12-26
Mew Gull,Larus canus,1,Essex,Newburyport,42.8125916,-70.8772964,1996-04-13
Lark Bunting,Calamospiza melanocorys,1,Essex,Parker River NWR,42.7639008,-70.8022995,1990-10-30
Ruff,Calidris pugnax,2,Essex,Newburyport Harbor,42.8116989,-70.839798,1982-05-08
Eared Grebe,Podiceps nigricollis,1,Essex,Gloucester,42.6158981,-70.6619873,1997-09-29
