COMMON NAME	SCIENTIFIC NAME	OBSERVATION COUNT	STATE	COUNTY	LOCALITY	LATITUDE	LONGITUDE	OBSERVATION DATE	OBSERVER ID
Tundra Swan	Cygnus columbianus	1	Massachusetts	Nantucket	Nantucket	41.2834206	-70.0994568	11/28/1982	obsr39970
Tundra Swan	Cygnus columbianus	2	Massachusetts	Plymouth	Scituate	42.1959	-70.72589	4/8/1997	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Middlesex	Hammond Pond	42.3240318	-71.1702919	2/28/1997	obsr138346
Tundra Swan	Cygnus columbianus	1	Massachusetts	Worcester	Worcester	42.26259	-71.80232	1/1/1999	obsr216617
Tundra Swan	Cygnus columbianus	1	Massachusetts	Franklin	Barton Cove	42.6068003	-72.5465441	3/26/1995	obsr22491
Tundra Swan	Cygnus columbianus	1	Massachusetts	Middlesex	Hammond Pond	42.3240318	-71.1702919	3/15/1997	obsr772799
Tundra Swan	Cygnus columbianus	2	Massachusetts	Norfolk	Great Blue Hill	42.2165043	-71.1051464	11/22/1984	obsr44063
Tundra Swan	Cygnus columbianus	1	Massachusetts	Hampshire	East Meadows	42.3080381	-72.615509	3/26/1991	obsr22491
Tundra Swan	Cygnus columbianus	16	Massachusetts	Worcester	Brookfield	42.21399	-72.10232	11/12/1998	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Middlesex	Newton	42.337	-71.2092	2/28/1997	obsr339145
Tundra Swan	Cygnus columbianus	4	Massachusetts	Essex	Ipswich	42.67929	-70.84119	11/29/1996	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Suffolk	"Chestnut Hill Reservoir, Boston"	42.3341844	-71.1563873	4/3/1997	obsr138346
Tundra Swan	Cygnus columbianus	1	Massachusetts	Franklin	Gill	42.64039	-72.49953	1/21/1995	obsr39970
Tundra Swan	Cygnus columbianus	1	Massachusetts	Essex	Norman's Pond	42.663156	-70.8298677	12/3/1983	obsr52135
Tundra Swan	Cygnus columbianus	1	Massachusetts	Essex	Cape Ann (please use more refined location)	42.657793	-70.6332529	1/5/1974	obsr52135
Tundra Swan	Cygnus columbianus	1	Massachusetts	Essex	West Newbury	42.80149	-70.9898	12/29/1996	obsr39970
Tundra Swan	Cygnus columbianus	1	Massachusetts	Plymouth	Manomet Inc.	41.921005	-70.5442548	4/7/1975	obsr976535
Tundra Swan	Cygnus columbianus	1	Massachusetts	Hampshire	East Meadows	42.3080381	-72.615509	3/27/1991	obsr22491
Tundra Swan	Cygnus columbianus	1	Massachusetts	Middlesex	Hammond Pond	42.3240318	-71.1702919	3/15/1997	obsr506749
Tundra Swan	Cygnus columbianus	1	Massachusetts	Barnstable	"Washburn Pond, Mashpee, MA"	41.6437024	-70.4839361	3/10/1991	obsr137539
Tundra Swan	Cygnus columbianus	28	Massachusetts	Bristol	Westport	41.6354454	-71.0498474	11/22/1998	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Essex	Gloucester	42.6158981	-70.6619873	2/11/1996	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Essex	West Newbury	42.80149	-70.9898	11/17/1996	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Middlesex	Hammond Pond	42.3240318	-71.1702919	2/28/1997	obsr232190
Tundra Swan	Cygnus columbianus	1	Massachusetts	Essex	Norman's Pond	42.663156	-70.8298677	12/9/1983	obsr52135
