common_name,scientific_name,observation_count,state,county,locality,latitude,longitude,observation_date,observer_id,geom
Boreal Chickadee,Poecile hudsonicus,1,Massachusetts,Berkshire,Windsor,42.51178,-73.05784,1/4/2002,obsr339145,0101000020E6100000A4198BA6B34352C09A5FCD0182414540
Boreal Chickadee,Poecile hudsonicus,1,Massachusetts,Berkshire,Savoy State Forest,42.6037443,-73.028698,1/5/2002,obsr339145,0101000020E61000007BDD2230D64152C0BED2437E474D4540
Tufted Duck,Aythya fuligula,1,Massachusetts,Worcester,West Boylston,42.36679,-71.78562,1/1/2003,obsr339145,0101000020E610000058C51B9947F251C0FB3F87F9F22E4540
South Polar Skua,Stercorarius maccormicki,1,Massachusetts,Nantucket,Lydonia Canyon,40.466667,-67.7,7/15/2003,obsr339145,0101000020E6100000CDCCCCCCCCEC50C0AC8F87BEBB3B4440
Brown Pelican,Pelecanus occidentalis,1,Massachusetts,Barnstable,Eastham-Wellfleet,41.9145413,-69.98909,12/23/2003,obsr339145,0101000020E61000003EB324404D7F51C0B12B77B00FF54440
Painted Bunting,Passerina ciris,1,Massachusetts,Norfolk,Plainville,42.003897,-71.3318253,5/13/2003,obsr339145,0101000020E610000011DF2EA03CD551C0B9C667B27F004540
Say's Phoebe,Sayornis saya,1,Massachusetts,Dukes,West Tisbury,41.38121,-70.67447,9/10/2003,obsr339145,0101000020E6100000850838842AAB51C03F74417DCBB04440
South Polar Skua,Stercorarius maccormicki,1,Massachusetts,Barnstable,Great South Channel,42.3991222,-68.3514404,7/16/2003,obsr339145,0101000020E6100000901FE0FF7D1651C0C50DAE6F16334540
Bridled Tern,Onychoprion anaethetus,1,Massachusetts,Nantucket,10 m E of Hydrographer Canyon,40.0276144,-68.7524414,7/15/2003,obsr339145,0101000020E6100000034AF9FF273051C0077360DE88034440
White Ibis,Eudocimus albus,1,Massachusetts,Bristol,Allens Pond Wildlife Sanctuary (Mass Audubon),41.5132529,-71.0139501,4/28/2003,obsr621446,0101000020E6100000A9D1F58EE4C051C0E0096245B2C14440
Tundra Swan,Cygnus columbianus,4,Massachusetts,Hampden,Southwick,42.05479,-72.77034,4/19/2003,obsr339145,0101000020E61000003EB324404D3152C0EC12D55B03074540
South Polar Skua,Stercorarius maccormicki,2,Massachusetts,Nantucket,Georges Bank,41.0296434,-67.4560547,6/8/2003,obsr339145,0101000020E6100000F96B0D0030DD50C068C5DC5ACB834440
South Polar Skua,Stercorarius maccormicki,2,Massachusetts,Nantucket,Georges Bank,41.0296434,-67.4560547,6/6/2003,obsr339145,0101000020E6100000F96B0D0030DD50C068C5DC5ACB834440
Brown Pelican,Pelecanus occidentalis,1,Massachusetts,Barnstable,Eastham-Wellfleet,41.9145413,-69.98909,12/25/2003,obsr339145,0101000020E61000003EB324404D7F51C0B12B77B00FF54440
White Ibis,Eudocimus albus,1,Massachusetts,Bristol,Allens Pond Wildlife Sanctuary (Mass Audubon),41.5132529,-71.0139501,5/4/2003,obsr192631,0101000020E6100000A9D1F58EE4C051C0E0096245B2C14440
Black-throated Gray Warbler,Setophaga nigrescens,1,Massachusetts,Essex,"Nahant, MA",42.4211581,-70.9322158,11/13/2004,obsr39551,0101000020E61000002074756CA9BB51C006F93482E8354540
Varied Thrush,Ixoreus naevius,1,Massachusetts,Middlesex,Concord Varied Thrush,42.4613566,-71.3552999,12/31/2004,obsr347747,0101000020E61000006AB1CA3BBDD651C09A65AABB0D3B4540
South Polar Skua,Stercorarius maccormicki,1,Massachusetts,Dukes,Nomans Land Island NWR (restricted access),41.2561686,-70.8159493,9/3/2004,obsr339145,0101000020E61000006CAC698338B451C08DA1F721CAA04440
