common_name,scientific_name,observation_count,state,county,locality,latitude,longitude,observation_date,observer_id,geom
Northern Lapwing,Vanellus vanellus,1,Massachusetts,Plymouth,Cumberland Farms,41.945,-70.879,11/12/2012,obsr965477,0101000020E6100000C74B378941B851C0295C8FC2F5F84440
Brown Pelican,Pelecanus occidentalis,1,Massachusetts,Essex,Jodrey State Fish Pier,42.61408,-70.65221,6/5/2012,obsr133132,0101000020E6100000F20703CFBDA951C05890662C9A4E4540
American White Pelican,Pelecanus erythrorhynchos,1,Massachusetts,Barnstable,Coast Guard Beach,41.8344618,-69.9453163,11/17/2012,obsr54366,0101000020E61000000C38F00F807C51C07261EEA4CFEA4440
Pacific Loon,Gavia pacifica,1,Massachusetts,Barnstable,Race Point,42.0691855,-70.2381706,3/17/2012,obsr54366,0101000020E61000009977E62F3E8F51C0C0ED0912DB084540
Pacific Loon,Gavia pacifica,1,Massachusetts,Essex,Plum Island--North End,42.8165016,-70.8199005,3/11/2012,obsr131201,0101000020E6100000575EF23F79B451C0DB90DA1F83684540
Pacific Loon,Gavia pacifica,1,Massachusetts,Essex,Plum Island--North End,42.8165016,-70.8199005,3/11/2012,obsr131741,0101000020E6100000575EF23F79B451C0DB90DA1F83684540
American White Pelican,Pelecanus erythrorhynchos,1,Massachusetts,Barnstable,"Fort Hill, Eastham",41.818792,-69.9644995,11/18/2012,obsr136152,0101000020E610000089601C5CBA7D51C0FC1C1F2DCEE84440
Black-bellied Whistling-Duck,Dendrocygna autumnalis,1,Massachusetts,Middlesex,Great Meadows NWR--Concord Unit,42.4751409,-71.3295084,8/1/2012,obsr105604,0101000020E6100000777066AA16D551C0FA3EC16AD13C4540
Black-bellied Whistling-Duck,Dendrocygna autumnalis,1,Massachusetts,Middlesex,Great Meadows NWR--Concord Unit,42.4751409,-71.3295084,8/1/2012,obsr155732,0101000020E6100000777066AA16D551C0FA3EC16AD13C4540
Townsend's Warbler,Setophaga townsendi,1,Massachusetts,Essex,Berry Feeders,42.6648012,-70.8394696,1/1/2012,obsr201997,0101000020E61000001E7FB3DEB9B551C0B82BAA3418554540
Black-bellied Whistling-Duck,Dendrocygna autumnalis,1,Massachusetts,Middlesex,Great Meadows NWR--Concord Unit,42.4751409,-71.3295084,8/1/2012,obsr157258,0101000020E6100000777066AA16D551C0FA3EC16AD13C4540
Black-bellied Whistling-Duck,Dendrocygna autumnalis,1,Massachusetts,Middlesex,Great Meadows NWR--Concord Unit,42.4751409,-71.3295084,8/1/2012,obsr162913,0101000020E6100000777066AA16D551C0FA3EC16AD13C4540
Northern Lapwing,Vanellus vanellus,1,Massachusetts,Plymouth,Cumberland Farms--Fuller St. Fields,41.9512402,-70.8663225,11/11/2012,obsr131634,0101000020E61000007E52EDD371B751C0FCD1263DC2F94440
Tufted Duck,Aythya fuligula,1,Massachusetts,Bristol,Manchester Pond Reservoir,41.9461929,-71.3158393,1/7/2012,obsr232556,0101000020E6100000A8120AB636D451C08C9A54D91CF94440
Black-bellied Whistling-Duck,Dendrocygna autumnalis,1,Massachusetts,Middlesex,Great Meadows NWR--Concord Unit,42.4751409,-71.3295084,7/28/2012,obsr352663,0101000020E6100000777066AA16D551C0FA3EC16AD13C4540
Loggerhead Shrike,Lanius ludovicianus,1,Massachusetts,Barnstable,"Morris Island Causeway, Chatham",41.662589,-69.9598002,9/6/2012,obsr193558,0101000020E61000006F6CD15D6D7D51C03CD862B7CFD44440
Townsend's Warbler,Setophaga townsendi,1,Massachusetts,Essex,"County Road, Ipswich, MA",42.6646398,-70.8392322,1/28/2012,obsr50118,0101000020E61000000230F9FAB5B551C05C4FBEEA12554540
Townsend's Warbler,Setophaga townsendi,1,Massachusetts,Essex,"County Road, Ipswich, MA",42.6646398,-70.8392322,1/28/2012,obsr138638,0101000020E61000000230F9FAB5B551C05C4FBEEA12554540
Rufous Hummingbird,Selasphorus rufus,1,Massachusetts,Plymouth,"stakeout Rufous Hummingbird--15 Thayer Avenue, West Bridgewater (Dec 2012)",42.0373,-70.9865,12/12/2012,obsr407714,0101000020E61000004260E5D022BF51C00612143FC6044540
White-faced Ibis,Plegadis chihi,2,Massachusetts,Essex,Kettle Island (Restricted Access),42.56817,-70.72189,5/27/2012,obsr199226,0101000020E6100000CE531D7233AE51C0BF4868CBB9484540
Mountain Bluebird,Sialia currucoides,1,Massachusetts,Essex,Good Harbor Beach & Marsh,42.61992,-70.63346,11/14/2012,obsr31638,0101000020E6100000BFD4CF9B8AA851C07311DF89594F4540
Mountain Bluebird,Sialia currucoides,1,Massachusetts,Essex,Good Harbor Beach & Marsh,42.61992,-70.63346,11/13/2012,obsr52356,0101000020E6100000BFD4CF9B8AA851C07311DF89594F4540
Townsend's Warbler,Setophaga townsendi,1,Massachusetts,Essex,"142 County Rd., Ipswich (home)",42.6646478,-70.8392515,1/2/2012,obsr52135,0101000020E61000009D67EC4BB6B551C0DE2DDA2D13554540
Northern Lapwing,Vanellus vanellus,1,Massachusetts,Plymouth,Bridgewater State Farm,41.9526126,-70.9480763,12/4/2012,obsr437067,0101000020E610000036A73748ADBC51C0F760AD35EFF94440
Northern Lapwing,Vanellus vanellus,1,Massachusetts,Plymouth,Bridgewater State Farm,41.9526126,-70.9480763,12/31/2012,obsr205401,0101000020E610000036A73748ADBC51C0F760AD35EFF94440
Northern Lapwing,Vanellus vanellus,1,Massachusetts,Plymouth,Bridgewater State Farm,41.9526126,-70.9480763,11/24/2012,obsr342766,0101000020E610000036A73748ADBC51C0F760AD35EFF94440
Northern Lapwing,Vanellus vanellus,1,Massachusetts,Plymouth,Bridgewater State Farm,41.9526126,-70.9480763,12/9/2012,obsr134106,0101000020E610000036A73748ADBC51C0F760AD35EFF94440
